"Hh_ID";"gruppe";"att1";"att2";"att3";"att4";"att5";"att6";"att7";"att8";"att9";"att10";"beobachten";"vergleichen";"austauschen";"was_andere_tun";"messen1";"messen2";"gesl";"alter";"miete";"einkommen";"X03d_longhair";"X05a_goal_yn";"X06a_readable";"X08b_hhcomp_income";"X12b_underst_vol";"X12c_underst_ener";"sem01_verstaendlich";"sem04_wirksam";"sem05_unnuetz";"sem11_nervig"
4683;2;"Stimme eher nicht zu";"Stimme eher zu";"Stimme zu";"Stimme zu";"Stimme eher zu";"Stimme zu";"Stimme eher zu";"Stimme nicht zu";"Stimme zu";"Indifferent";"Eher oft";"Selten";"Oft";"Eher selten";"Eher oft";"Eher oft";"männlich";"40-49";"Mietwohnung";"Keine Angabe";0;NA;3;20;NA;NA;-2;-1;1;1
4687;5;"Stimme eher zu";"Indifferent";"Indifferent";"Stimme eher nicht zu";"Stimme eher nicht zu";"Indifferent";"Stimme nicht zu";"Stimme nicht zu";"Stimme eher nicht zu";"Stimme eher nicht zu";"Eher selten";"Eher selten";"Eher oft";"Eher selten";"Eher selten";"Eher oft";"männlich";"20-29";"Mietwohnung";"Keine Angabe";0;"Ja";5;70;"5";"5";-2;-2;0;0
4694;6;"Stimme eher nicht zu";"Stimme zu";"Stimme zu";"Stimme zu";"Stimme zu";"Stimme zu";"Stimme zu";"Stimme zu";"Stimme zu";"Stimme zu";"Selten";"Selten";"Oft";"Eher selten";"Nie";"Eher selten";"männlich";"40-49";"Mietwohnung";"5000 - 5999 Fr.";0;"Nein";5;95;"5";"5";-3;-3;3;0
4714;5;"Stimme eher nicht zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Indifferent";"Stimme eher zu";"Stimme eher zu";"Stimme eher nicht zu";"Stimme zu";"Stimme eher zu";"Eher oft";NA;"Eher oft";"Eher oft";"Oft";"Oft";"männlich";"20-29";"Mietwohnung";"3000 - 3999 Fr.";0;"Ja";5;75;"5";"2";-2;-1;2;1
4717;3;"Stimme eher nicht zu";"Stimme zu";"Stimme zu";"Stimme zu";"Stimme eher zu";"Stimme zu";"Stimme zu";"Stimme nicht zu";"Stimme eher zu";"Stimme zu";"Nie";"Selten";"Eher oft";"Selten";"Nie";"Eher oft";"männlich";"40-49";"Mietwohnung";"< 3000 Fr.";1;"Nein";3;90;"5";"3";-2;-2;2;0
4722;4;"Indifferent";"Stimme zu";"Stimme eher zu";"Stimme zu";"Indifferent";"Stimme nicht zu";"Stimme eher zu";"Stimme nicht zu";"Indifferent";"Stimme eher zu";"Eher selten";"Nie";"Eher oft";"Selten";"Nie";"Eher selten";"männlich";"30-39";"Mietwohnung";"10000 - 11999 Fr.";0;"Ja";5;60;"5";"5";-3;-2;3;1
4728;6;"Indifferent";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Indifferent";"Stimme eher zu";"Stimme zu";"Indifferent";"Stimme zu";"Stimme eher zu";"Eher selten";"Selten";"Eher oft";"Selten";"Eher selten";"Eher oft";"männlich";"20-29";"Mietwohnung";"10000 - 11999 Fr.";1;"Ja";5;40;"5";"3";-3;-2;3;3
4738;3;"Stimme eher zu";"Stimme eher zu";"Stimme zu";"Stimme zu";"Stimme eher zu";"Indifferent";"Stimme zu";"Indifferent";"Indifferent";"Indifferent";"Eher oft";"Selten";"Oft";"Selten";"Nie";"Eher oft";"männlich";"50-64";"Mietwohnung";"10000 - 11999 Fr.";0;"Ja";4;90;"4";"5";-3;-3;3;3
4743;4;"Stimme eher zu";"Stimme eher nicht zu";"Stimme eher nicht zu";"Indifferent";"Stimme eher zu";"Stimme eher zu";"Stimme eher zu";"Stimme eher nicht zu";"Stimme eher zu";"Stimme eher zu";"Eher oft";"Eher oft";"Oft";"Eher oft";"Eher oft";"Oft";"männlich";"30-39";"Mietwohnung";"8000 - 8999 Fr.";0;"Nein";4;50;"4";"3";0;0;1;0
4750;1;"Stimme eher nicht zu";"Stimme nicht zu";"Indifferent";"Stimme zu";"Stimme eher zu";"Stimme eher nicht zu";"Stimme zu";"Stimme nicht zu";"Stimme zu";"Indifferent";"Eher selten";"Selten";"Oft";"Eher oft";"Eher selten";"Eher oft";"weiblich";"65+";"Mietwohnung";"7000 - 7999 Fr.";0;NA;5;40;NA;NA;-3;-2;-2;1
4751;4;"Stimme eher nicht zu";"Stimme zu";"Stimme zu";"Stimme zu";"Stimme eher zu";"Stimme zu";"Stimme zu";"Stimme nicht zu";"Stimme zu";"Stimme zu";"Selten";"Nie";"Oft";"Eher oft";"Nie";"Nie";"weiblich";"40-49";"Eigentumswohnung";"12000 - 14999 Fr.";1;"Ja";4;20;"5";"5";-1;-1;1;0
4759;2;"Stimme eher zu";"Stimme eher zu";"Stimme nicht zu";"Stimme eher zu";"Indifferent";"Stimme eher nicht zu";"Stimme eher nicht zu";"Stimme zu";"Stimme eher nicht zu";"Indifferent";"Eher selten";"Eher selten";"Oft";"Selten";"Selten";"Eher selten";"männlich";"50-64";"Eigentumswohnung";"7000 - 7999 Fr.";0;NA;4;60;NA;NA;-2;0;0;0
4760;1;"Stimme eher zu";"Stimme eher nicht zu";"Stimme zu";"Indifferent";"Indifferent";"Stimme eher zu";"Indifferent";"Indifferent";"Stimme eher zu";"Stimme eher nicht zu";"Eher oft";"Eher oft";"Eher oft";"Eher oft";"Eher selten";"Eher oft";"weiblich";"40-49";"Mietwohnung";"5000 - 5999 Fr.";1;NA;5;50;NA;NA;-2;-2;2;2
